First Column,having ip address,url length,shortening services,having @ symbol,double slash,prefix suffix,having sub domain,ssl final state,domain reg,favicon,port,https token,request url,url anchor,links in tag,sfh,submitting to email,abnormal url,redirect,on mouse over,right click,popup window,iframe,age of domain,dns record,google index,links pointing to page,statistical report
http://www.crestonwood.com/router.php,1,1,1,1,1,1,1,-1,-1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,-1,-1,1,1,1,1
http://shadetreetechnology.com/V4/validation/a111aedc8ae390eabcfa130e041a10a4,1,-1,1,1,1,1,1,-1,-1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1
https://support-appleld.com.secureupdate.duilawyeryork.com/ap/89e6a3b4b063b8d/?cmd=_update&dispatch=89e6a3b4b063b8d1b&locale=_,1,-1,1,1,1,-1,0,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1,1
http://rgipt.ac.in,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,0,0,1,1,-1,1,1,1,1,-1,1,1,0,1
http://www.iracing.com/tracks/gateway-motorsports-park/,1,0,1,1,1,1,1,-1,-1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1
http://appleid.apple.com-app.es/,1,1,1,1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1,1
http://www.mutuo.it,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,0,-1,1,1,1,-1,1,1,1,1,-1,1,1,1,1
http://www.shadetreetechnology.com/V4/validation/ba4b8bddd7958ecb8772c836c2969531,1,-1,1,1,1,1,1,-1,-1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1
http://vamoaestudiarmedicina.blogspot.com/,1,1,-1,1,1,1,1,-1,-1,-1,1,-1,1,-1,0,1,1,1,-1,1,1,1,1,-1,1,1,-1,1
https://parade.com/425836/joshwigler/the-amazing-race-host-phil-keoghan-previews-the-season-27-premiere/,1,-1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1
https://www.astrologyonline.eu/Astro_MemoNew/Profilo.asp,1,0,1,1,1,1,1,-1,-1,1,1,1,1,1,0,1,1,1,-1,1,1,1,1,-1,1,1,1,-1
